customer_id,city,signup_date,age_group,loyalty_tier
C00133,Hyderabad,2025-03-18,18-25,Silver
C00134,Bangalore,2025-07-05,18-25,Silver
C00135,Mumbai,2025-07-20,18-25,Silver
C00136,Hyderabad,2025-05-21,36-45,Gold
C00137,Delhi,2024-10-16,46-60,Silver
C00138,Hyderabad,2026-05-12,26-35,Silver
C00139,Hyderabad,2025-06-11,26-35,Silver
C00140,Mumbai,2024-11-28,18-25,Gold
C00141,Bangalore,2026-02-01,18-25,Gold
C00142,Bangalore,2025-03-22,26-35,Silver
C00143,Bangalore,2025-02-25,46-60,Gold
C00144,Chennai,2024-05-27,36-45,Gold
C00145,Chennai,2024-10-14,46-60,Silver
C00146,Hyderabad,2025-01-25,46-60,Platinum
C00147,Delhi,2025-06-11,26-35,Silver
C00148,Delhi,2025-09-30,26-35,Silver
C00149,Chennai,2024-11-04,36-45,Silver
C00150,Chennai,2025-01-11,46-60,Silver
C00151,Delhi,2026-01-10,18-25,Silver
C00152,Delhi,2025-05-22,46-60,Silver
C00153,Chennai,2025-05-25,26-35,Silver
C00154,Hyderabad,2025-12-31,26-35,Gold
C00155,Bangalore,2024-08-17,18-25,Platinum
C00156,Chennai,2024-06-19,46-60,Gold
C00157,Mumbai,2026-05-04,18-25,Silver
C00158,Delhi,2024-09-21,18-25,Silver
C00159,Hyderabad,2025-06-11,46-60,Gold
C00160,Delhi,2025-10-11,36-45,Silver
C00161,Hyderabad,2024-08-17,18-25,Gold
C00162,Chennai,2025-07-25,26-35,Silver
C00163,Bangalore,2025-12-15,46-60,Silver
C00164,Delhi,2025-12-10,18-25,Silver
C00165,Delhi,2024-09-01,26-35,Gold
C00166,Bangalore,2026-04-18,18-25,Silver
C00167,Bangalore,2026-02-07,36-45,Gold
C00168,Delhi,2024-06-08,18-25,Gold
C00169,Delhi,2026-01-08,36-45,Silver
C00170,Hyderabad,2024-11-19,18-25,Gold
C00171,Hyderabad,2024-05-27,26-35,Silver
C00172,Mumbai,2025-03-01,46-60,Silver
C00173,Bangalore,2024-07-10,26-35,Silver
C00174,Bangalore,2025-05-03,26-35,Gold
C00175,Chennai,2025-08-12,26-35,Gold
C00176,Chennai,2025-11-24,18-25,Silver
C00177,Bangalore,2025-11-13,36-45,Silver
C00178,Chennai,2026-05-05,36-45,Silver
C00179,Hyderabad,2025-04-13,46-60,Silver
C00180,Mumbai,2024-09-19,18-25,Gold
C00181,Bangalore,2025-04-07,18-25,Silver
C00182,Hyderabad,2025-07-06,18-25,Gold
C00183,Bangalore,2026-04-21,18-25,Silver
C00184,Mumbai,2026-04-30,26-35,Silver
C00185,Hyderabad,2025-12-08,36-45,Silver
C00186,Chennai,2026-03-14,18-25,Silver
C00187,Chennai,2026-02-16,18-25,Platinum
C00188,Chennai,2026-04-28,36-45,Gold
C00189,Chennai,2026-03-17,46-60,Silver
C00190,Mumbai,2025-03-29,36-45,Gold
C00191,Hyderabad,2024-08-25,18-25,Silver
C00192,Bangalore,2024-06-22,18-25,Silver
C00193,Mumbai,2024-11-19,26-35,Silver
C00194,Bangalore,2025-05-19,36-45,Silver
C00195,Delhi,2026-03-11,46-60,Silver
C00196,Bangalore,2025-02-12,46-60,Silver
C00197,Chennai,2025-11-04,36-45,Gold
C00198,Mumbai,2025-09-14,36-45,Gold
C00199,Bangalore,2024-11-08,36-45,Silver
C00200,Chennai,2026-03-31,18-25,Gold
C00201,Delhi,2025-01-25,26-35,Silver
C00202,Delhi,2025-12-07,36-45,Gold
C00203,Chennai,2026-04-20,18-25,Silver
C00204,Bangalore,2025-07-28,26-35,Gold
C00205,Bangalore,2026-04-12,18-25,Silver
C00206,Delhi,2026-01-15,36-45,Silver
C00207,Hyderabad,2024-10-19,18-25,Gold
C00208,Hyderabad,2024-07-18,36-45,Silver
C00209,Delhi,2026-02-21,36-45,Gold
C00210,Chennai,2024-06-28,26-35,Gold
C00211,Mumbai,2025-08-28,36-45,Gold
C00212,Delhi,2025-10-30,36-45,Gold
C00213,Hyderabad,2024-05-31,46-60,Silver
C00214,Mumbai,2026-02-14,26-35,Silver
C00215,Bangalore,2024-12-20,46-60,Silver
C00216,Bangalore,2025-07-29,36-45,Silver
C00217,Bangalore,2025-02-06,26-35,Silver
C00218,Mumbai,2025-06-08,26-35,Silver
C00219,Chennai,2024-10-19,36-45,Gold
C00220,Mumbai,2025-07-15,36-45,Silver
C00221,Delhi,2025-04-19,46-60,Gold
C00222,Delhi,2026-03-21,26-35,Gold
C00223,Mumbai,2025-01-10,18-25,Silver
C00224,Bangalore,2026-01-04,26-35,Platinum
C00225,Bangalore,2026-02-17,36-45,Silver
C00226,Chennai,2025-05-06,18-25,Gold
C00227,Chennai,2024-09-15,26-35,Gold
C00228,Mumbai,2025-08-22,26-35,Platinum
C00229,Bangalore,2025-05-17,26-35,Silver
C00230,Mumbai,2026-02-26,26-35,Platinum
C00231,Bangalore,2024-11-19,36-45,Silver
C00232,Mumbai,2025-09-16,46-60,Silver
C00233,Chennai,2025-03-30,36-45,Silver
C00234,Mumbai,2025-02-03,18-25,Silver
C00235,Bangalore,2024-09-08,26-35,Silver
C00236,Delhi,2025-07-01,18-25,Silver
C00237,Bangalore,2026-04-22,18-25,Gold
C00238,Chennai,2026-03-16,18-25,Platinum
C00239,Hyderabad,2024-12-15,26-35,Gold
C00240,Chennai,2025-12-17,26-35,Gold
C00241,Hyderabad,2024-10-30,46-60,Silver
C00242,Hyderabad,2026-04-28,26-35,Silver
C00243,Bangalore,2025-04-15,26-35,Gold
C00244,Mumbai,2025-12-09,36-45,Silver
C00245,Chennai,2025-04-15,46-60,Silver
C00246,Bangalore,2026-03-27,18-25,Gold
C00247,Delhi,2025-12-01,18-25,Gold
C00248,Chennai,2024-08-21,46-60,Silver
C00249,Mumbai,2024-06-03,18-25,Silver
C00250,Hyderabad,2024-08-01,36-45,Gold
C00251,Bangalore,2025-07-05,26-35,Gold
C00252,Chennai,2024-06-30,26-35,Gold
C00253,Delhi,2025-10-25,36-45,Gold
C00254,Hyderabad,2025-01-16,46-60,Gold
C00255,Mumbai,2024-06-08,26-35,Gold
C00256,Mumbai,2025-10-18,46-60,Gold
C00257,Chennai,2025-11-13,18-25,Gold
C00258,Mumbai,2026-04-01,26-35,Gold
C00259,Chennai,2025-11-15,18-25,Silver
C00260,Bangalore,2024-06-22,18-25,Gold
C00261,Mumbai,2024-10-20,46-60,Silver
C00262,Bangalore,2024-09-05,46-60,Silver
C00263,Bangalore,2025-06-08,46-60,Platinum
C00264,Bangalore,2025-07-17,36-45,Silver
C00265,Delhi,2025-06-01,18-25,Silver
C00266,Chennai,2025-06-28,26-35,Gold
C00267,Hyderabad,2026-01-10,46-60,Silver
C00268,Chennai,2024-05-17,18-25,Silver
C00269,Delhi,2024-12-26,18-25,Gold
C00270,Hyderabad,2026-01-31,26-35,Platinum
C00271,Mumbai,2026-04-22,46-60,Silver
C00272,Bangalore,2025-08-17,18-25,Gold
C00273,Mumbai,2026-03-10,18-25,Gold
C00274,Hyderabad,2024-11-11,46-60,Silver
C00275,Delhi,2025-07-15,46-60,Gold
C00276,Chennai,2026-05-01,46-60,Silver
C00277,Mumbai,2025-12-30,36-45,Silver
C00278,Chennai,2026-03-18,36-45,Silver
C00279,Bangalore,2025-04-01,26-35,Silver
C00280,Chennai,2025-06-01,26-35,Silver
C00281,Bangalore,2025-10-10,46-60,Silver
C00282,Mumbai,2024-10-05,36-45,Gold
C00283,Mumbai,2025-07-24,46-60,Gold
C00284,Mumbai,2025-08-24,26-35,Silver
C00285,Bangalore,2026-03-14,18-25,Silver
C00286,Delhi,2026-01-06,18-25,Gold
C00287,Delhi,2025-04-21,36-45,Silver
C00288,Mumbai,2024-06-05,36-45,Silver
C00289,Chennai,2025-11-26,26-35,Silver
C00290,Mumbai,2026-04-21,36-45,Gold
C00291,Delhi,2024-12-01,36-45,Platinum
C00292,Bangalore,2024-06-25,26-35,Silver
C00293,Chennai,2026-04-22,26-35,Gold
C00294,Mumbai,2026-02-16,36-45,Silver
C00295,Mumbai,2024-05-29,36-45,Platinum
C00296,Delhi,2024-10-16,18-25,Silver
C00297,Bangalore,2026-01-21,36-45,Silver
C00298,Hyderabad,2026-02-03,18-25,Gold
C00299,Chennai,2024-12-18,26-35,Gold
C00300,Chennai,2025-01-13,46-60,Gold
C00301,Mumbai,2026-05-15,36-45,Gold
C00302,Delhi,2025-05-23,18-25,Gold
C00303,Mumbai,2025-04-10,36-45,Silver
C00304,Delhi,2024-06-04,46-60,Silver
C00305,Bangalore,2026-04-04,36-45,Platinum
C00306,Delhi,2024-05-28,26-35,Gold
C00307,Hyderabad,2026-05-08,26-35,Silver
C00308,Hyderabad,2024-12-31,36-45,Platinum
C00309,Chennai,2025-05-21,26-35,Gold
C00310,Chennai,2026-04-13,18-25,Gold
C00311,Chennai,2025-01-19,46-60,Gold
C00312,Hyderabad,2024-08-08,36-45,Silver
C00313,Hyderabad,2024-12-12,26-35,Silver
C00314,Bangalore,2025-05-02,26-35,Silver
C00315,Chennai,2025-11-01,26-35,Platinum
C00316,Delhi,2024-06-29,46-60,Gold
C00317,Mumbai,2024-07-05,36-45,Silver
C00318,Mumbai,2024-10-16,36-45,Silver
C00319,Chennai,2025-03-21,18-25,Gold
C00320,Mumbai,2025-09-01,36-45,Gold
C00321,Mumbai,2025-05-17,46-60,Platinum
C00322,Delhi,2025-03-25,18-25,Silver
C00323,Delhi,2025-06-27,18-25,Silver
C00324,Mumbai,2026-04-28,26-35,Silver
C00325,Delhi,2026-03-19,26-35,Silver
C00326,Mumbai,2025-10-27,26-35,Gold
C00327,Bangalore,2025-11-13,26-35,Gold
C00328,Mumbai,2025-10-04,18-25,Silver
C00329,Bangalore,2025-09-05,46-60,Silver
C00330,Chennai,2025-07-14,46-60,Silver
C00331,Chennai,2026-04-23,46-60,Silver
C00332,Chennai,2025-12-26,26-35,Silver
C00333,Chennai,2024-12-10,18-25,Silver
C00334,Chennai,2024-07-12,36-45,Silver
C00335,Delhi,2025-03-31,46-60,Gold
C00336,Mumbai,2025-12-02,46-60,Gold
C00337,Chennai,2025-03-12,18-25,Gold
C00338,Mumbai,2026-02-19,46-60,Gold
C00339,Mumbai,2024-12-03,18-25,Silver
C00340,Chennai,2026-01-19,36-45,Gold
C00341,Chennai,2025-10-11,36-45,Silver
C00342,Delhi,2024-12-04,18-25,Silver
C00343,Delhi,2025-04-02,18-25,Silver
C00344,Delhi,2024-10-13,18-25,Gold
C00345,Hyderabad,2025-07-03,36-45,Silver
C00346,Chennai,2026-02-11,36-45,Gold
C00347,Delhi,2025-01-30,18-25,Gold
C00348,Delhi,2024-07-24,26-35,Silver
C00349,Chennai,2024-05-31,18-25,Platinum
C00350,Mumbai,2025-05-29,26-35,Platinum
C00351,Hyderabad,2025-10-04,46-60,Silver
C00352,Delhi,2025-01-29,46-60,Silver
C00353,Delhi,2024-12-11,18-25,Silver
C00354,Delhi,2025-07-15,36-45,Silver
C00355,Hyderabad,2025-09-05,46-60,Silver
C00356,Delhi,2026-03-13,46-60,Platinum
C00357,Bangalore,2024-10-12,26-35,Gold
C00358,Hyderabad,2024-07-10,26-35,Silver
C00359,Delhi,2024-10-30,26-35,Silver
C00360,Hyderabad,2026-01-26,36-45,Silver
C00361,Chennai,2024-09-08,46-60,Gold
C00362,Mumbai,2025-10-10,26-35,Gold
C00363,Chennai,2025-02-14,18-25,Silver
C00364,Hyderabad,2025-12-13,36-45,Silver
C00365,Bangalore,2026-03-22,36-45,Silver
C00366,Hyderabad,2026-01-06,18-25,Silver
C00367,Hyderabad,2025-12-23,26-35,Gold
C00368,Delhi,2025-11-29,36-45,Silver
C00369,Chennai,2026-04-09,36-45,Gold
C00370,Hyderabad,2026-05-09,26-35,Gold
C00371,Chennai,2025-06-20,26-35,Gold
C00372,Chennai,2025-07-27,26-35,Gold
C00373,Bangalore,2025-06-30,26-35,Silver
C00374,Delhi,2025-07-26,18-25,Gold
C00375,Mumbai,2026-04-06,18-25,Gold
C00376,Mumbai,2024-09-19,36-45,Gold
C00377,Delhi,2024-10-21,26-35,Silver
C00378,Hyderabad,2025-07-22,18-25,Silver
C00379,Bangalore,2026-03-25,18-25,Gold
C00380,Bangalore,2024-09-07,26-35,Silver
C00381,Bangalore,2025-03-07,46-60,Silver
C00382,Mumbai,2025-11-26,26-35,Gold
C00383,Hyderabad,2025-11-11,36-45,Silver
C00384,Hyderabad,2025-01-03,36-45,Silver
C00385,Hyderabad,2025-04-10,26-35,Silver
C00386,Hyderabad,2025-03-11,46-60,Silver
C00387,Mumbai,2025-07-07,36-45,Platinum
C00388,Hyderabad,2025-03-26,26-35,Silver
C00389,Delhi,2026-02-05,26-35,Silver
C00390,Delhi,2025-05-29,36-45,Silver
C00391,Chennai,2026-01-17,46-60,Gold
C00392,Mumbai,2024-11-19,26-35,Gold
C00393,Hyderabad,2026-04-15,46-60,Silver
C00394,Mumbai,2025-08-30,36-45,Silver
C00395,Mumbai,2024-07-22,46-60,Gold
C00396,Chennai,2024-12-27,36-45,Silver
C00397,Delhi,2025-09-18,26-35,Gold
C00398,Mumbai,2026-01-31,26-35,Gold
C00399,Chennai,2025-07-18,36-45,Silver
C00400,Hyderabad,2025-03-15,46-60,Silver
C00401,Delhi,2025-08-20,46-60,Platinum
C00402,Bangalore,2024-10-30,26-35,Gold
C00403,Bangalore,2024-11-05,18-25,Gold
C00404,Bangalore,2024-10-13,26-35,Silver
C00405,Mumbai,2026-05-09,18-25,Gold
C00406,Bangalore,2025-08-30,18-25,Gold
C00407,Mumbai,2024-11-03,18-25,Silver
C00408,Mumbai,2024-06-28,26-35,Silver
C00409,Bangalore,2025-02-20,26-35,Gold
C00410,Delhi,2025-02-19,36-45,Silver
C00411,Bangalore,2024-09-29,18-25,Silver
C00412,Chennai,2025-06-24,36-45,Silver
C00413,Hyderabad,2026-03-15,46-60,Platinum
C00414,Bangalore,2025-02-19,36-45,Silver
C00415,Bangalore,2025-05-16,46-60,Gold
C00416,Hyderabad,2024-07-20,36-45,Gold
C00417,Chennai,2026-02-09,36-45,Gold
C00418,Hyderabad,2025-05-29,46-60,Silver
C00419,Mumbai,2026-05-11,26-35,Silver
C00420,Chennai,2024-09-07,36-45,Silver
C00421,Delhi,2025-09-09,46-60,Silver
C00422,Bangalore,2024-05-21,46-60,Silver
C00423,Hyderabad,2024-08-13,36-45,Silver
C00424,Chennai,2025-01-09,36-45,Silver
C00425,Bangalore,2025-12-08,46-60,Silver
C00426,Hyderabad,2025-07-15,26-35,Silver
C00427,Delhi,2025-09-12,26-35,Gold
C00428,Bangalore,2025-04-11,36-45,Gold
C00429,Bangalore,2024-08-22,18-25,Platinum
C00430,Bangalore,2024-10-25,18-25,Silver
C00431,Delhi,2025-07-27,18-25,Silver
C00432,Bangalore,2026-04-16,46-60,Platinum
C00433,Chennai,2025-08-21,46-60,Gold
C00434,Hyderabad,2025-11-30,36-45,Silver
C00435,Mumbai,2025-07-15,46-60,Silver
C00436,Chennai,2025-04-30,36-45,Gold
C00437,Chennai,2024-10-26,36-45,Gold
C00438,Mumbai,2026-02-01,18-25,Gold
C00439,Delhi,2025-10-09,18-25,Gold
C00440,Mumbai,2025-05-06,46-60,Silver
C00441,Chennai,2024-10-05,18-25,Silver
C00442,Hyderabad,2024-09-20,46-60,Silver
C00443,Bangalore,2024-08-10,26-35,Silver
C00444,Chennai,2025-08-19,36-45,Silver
C00445,Bangalore,2025-08-18,26-35,Silver
C00446,Chennai,2024-07-14,26-35,Silver
C00447,Mumbai,2026-02-05,26-35,Platinum
C00448,Bangalore,2025-05-15,36-45,Silver
C00449,Delhi,2026-02-25,26-35,Silver
C00450,Delhi,2026-01-01,26-35,Silver
C00451,Bangalore,2025-12-20,26-35,Silver
C00452,Bangalore,2025-10-29,36-45,Silver
C00453,Delhi,2025-11-04,46-60,Gold
C00454,Mumbai,2025-04-13,18-25,Silver
C00455,Delhi,2026-01-09,46-60,Gold
C00456,Chennai,2025-05-07,36-45,Silver
C00457,Hyderabad,2025-06-20,46-60,Platinum
C00458,Bangalore,2024-12-15,26-35,Silver
C00459,Chennai,2026-04-26,26-35,Platinum
C00460,Chennai,2024-12-13,26-35,Gold
C00461,Mumbai,2025-09-08,18-25,Silver
C00462,Bangalore,2025-05-06,18-25,Silver
C00463,Hyderabad,2026-03-09,18-25,Gold
C00464,Bangalore,2025-04-26,46-60,Gold
C00465,Chennai,2024-08-27,46-60,Silver
C00466,Bangalore,2025-12-06,18-25,Gold
C00467,Chennai,2024-12-01,26-35,Silver
C00468,Bangalore,2025-10-07,18-25,Silver
C00469,Mumbai,2025-09-17,36-45,Gold
C00470,Hyderabad,2024-12-02,18-25,Silver
C00471,Bangalore,2024-09-17,26-35,Silver
C00472,Mumbai,2025-10-18,18-25,Silver
C00473,Mumbai,2024-06-15,46-60,Silver
C00474,Chennai,2024-07-19,26-35,Platinum
C00475,Delhi,2024-08-08,46-60,Platinum
C00476,Bangalore,2025-01-27,36-45,Silver
C00477,Delhi,2024-11-09,36-45,Silver
C00478,Delhi,2024-10-18,46-60,Platinum
C00479,Bangalore,2025-12-17,26-35,Silver
C00480,Delhi,2025-06-20,36-45,Silver
C00481,Delhi,2026-04-05,46-60,Silver
C00482,Chennai,2026-05-15,26-35,Silver
C00483,Delhi,2025-08-04,36-45,Gold
C00484,Delhi,2024-11-13,18-25,Silver
C00485,Delhi,2024-12-10,46-60,Silver
C00486,Delhi,2024-12-30,18-25,Silver
C00487,Bangalore,2025-11-13,36-45,Gold
C00488,Mumbai,2024-11-09,26-35,Silver
C00489,Bangalore,2024-09-27,46-60,Gold
C00490,Bangalore,2025-06-23,46-60,Silver
C00491,Bangalore,2026-02-24,36-45,Gold
C00492,Hyderabad,2025-02-14,36-45,Silver
C00493,Chennai,2026-02-08,18-25,Gold
C00494,Chennai,2025-10-10,26-35,Silver
C00495,Mumbai,2025-12-20,36-45,Silver
C00496,Delhi,2025-07-12,26-35,Silver
C00497,Chennai,2024-09-17,46-60,Gold
C00498,Hyderabad,2025-02-07,26-35,Gold
C00499,Mumbai,2024-07-11,18-25,Gold
C00500,Chennai,2025-06-02,46-60,Silver
C00501,Delhi,2025-07-21,26-35,Silver
C00502,Bangalore,2025-11-08,46-60,Silver
C00503,Hyderabad,2026-05-10,46-60,Silver
C00504,Hyderabad,2025-11-24,26-35,Silver
C00505,Chennai,2024-09-05,36-45,Silver
C00506,Hyderabad,2025-09-08,18-25,Gold
C00507,Delhi,2025-02-07,18-25,Gold
C00508,Mumbai,2025-02-26,18-25,Platinum
C00509,Bangalore,2026-03-09,26-35,Silver
C00510,Hyderabad,2026-02-07,36-45,Silver
C00511,Hyderabad,2024-09-11,36-45,Silver
C00512,Hyderabad,2024-08-03,18-25,Silver
C00513,Mumbai,2025-07-03,18-25,Platinum
C00514,Bangalore,2024-12-25,36-45,Silver
C00515,Chennai,2025-09-10,18-25,Platinum
C00516,Chennai,2025-11-14,36-45,Silver
C00517,Delhi,2025-06-07,26-35,Silver
C00518,Delhi,2024-09-23,18-25,Silver
C00519,Chennai,2025-01-27,46-60,Silver
C00520,Bangalore,2024-10-16,46-60,Platinum
C00521,Bangalore,2025-11-09,36-45,Silver
C00522,Mumbai,2025-02-06,18-25,Gold
C00523,Mumbai,2024-12-23,46-60,Gold
C00524,Delhi,2025-12-09,26-35,Silver
C00525,Mumbai,2024-05-22,26-35,Silver
C00526,Bangalore,2025-02-20,46-60,Silver
C00527,Chennai,2024-05-18,36-45,Gold
C00528,Mumbai,2025-01-07,46-60,Gold
C00529,Chennai,2025-03-18,26-35,Silver
C00530,Delhi,2025-09-07,36-45,Silver
C00531,Hyderabad,2026-01-07,26-35,Silver
C00532,Hyderabad,2025-02-03,26-35,Silver
C00533,Mumbai,2025-06-08,18-25,Silver
C00534,Mumbai,2025-01-01,46-60,Silver
C00535,Delhi,2026-04-17,18-25,Silver
C00536,Bangalore,2024-05-18,26-35,Gold
C00537,Mumbai,2025-07-25,18-25,Silver
C00538,Bangalore,2025-06-05,18-25,Silver
C00539,Mumbai,2024-08-21,18-25,Gold
C00540,Hyderabad,2025-05-07,26-35,Silver
C00541,Delhi,2026-04-13,46-60,Silver
C00542,Hyderabad,2024-11-08,26-35,Gold
C00543,Delhi,2026-04-10,46-60,Silver
C00544,Mumbai,2025-01-07,18-25,Silver
C00545,Mumbai,2026-01-10,26-35,Silver
C00546,Mumbai,2024-09-20,26-35,Silver
C00547,Chennai,2025-10-25,26-35,Silver
C00548,Hyderabad,2025-07-28,36-45,Gold
C00549,Chennai,2024-09-29,36-45,Silver
C00550,Hyderabad,2025-06-09,26-35,Gold
C00551,Hyderabad,2025-07-19,36-45,Gold
C00552,Delhi,2025-10-04,46-60,Gold
C00553,Chennai,2024-12-25,18-25,Silver
C00554,Hyderabad,2025-12-06,46-60,Gold
C00555,Bangalore,2025-04-10,26-35,Silver
C00556,Hyderabad,2025-12-02,36-45,Silver
C00557,Bangalore,2025-04-30,26-35,Silver
C00558,Hyderabad,2025-08-07,26-35,Silver
C00559,Mumbai,2024-09-15,46-60,Gold
C00560,Delhi,2025-09-11,36-45,Silver
C00561,Bangalore,2025-06-22,46-60,Silver
